balance,time,block
6250771.626,1640440863,4078657
6451424.421,1641432088,4397302
6439060.88,1641341976,4354816
6332970.086,1640945903,4206115
6334286.363,1641078579,4248601
6341314.402,1641141481,4269844
6413001.42,1641201603,4291087
6437774.044,1641530588,4439788
6532793.024,1642072367,4609732
6490170.854,1641853422,4546003
6552601.466,1642442651,4737190
6419671.675,1641302815,4333573
6515469.496,1641999500,4588489
6429406.819,1641396960,4376059
6574178.601,1642268083,4673461
6485724.912,1641803605,4524760
6478375.627,1641651235,4482274
6431428.148,1641580508,4461031
6562839.783,1642137549,4630975
6569711.394,1642201824,4652218
6500026.717,1641699467,4503517
6596700.342,1642685332,4822162
6606331.591,1642626784,4800919
6345930.221,1642827010,4885891
6511005.726,1641924914,4567246
6572138.686,1642508529,4758433
6584888.902,1642562235,4779676
6303703.768,1642868674,4907134
6328076.122,1642992973,4949620
6308223.364,1643202233,5077078
6287726.137,1643269270,5119564
6290178.758,1642929669,4928377
6591302.595,1642333535,4694704
6384795.56,1642784439,4864648
6566534.077,1642385958,4715947
6309732.059,1643131954,5034592
6422055.664,1642731977,4843405
6235966.016,1643463673,5204536
6436417.124,1641484141,4418545
6227770.91,1643554759,5247022
6228493.227,1643310799,5140807
6314488.601,1643062428,4992106
6204175.735,1643513238,5225779
6218750.393,1643595973,5268265
6309774.197,1643172608,5055835
6243453.018,1643981393,5416966
6223473.175,1643874621,5374480
6282823.344,1643036123,4970863
6202108.028,1643355335,5162050
6218182.964,1643652954,5289508
6213504.596,1644093343,5459452
6286358.549,1643229238,5098321
6199938.6,1643820451,5353237
6205129.914,1643405254,5183293
6230597.223,1643916069,5395723
6225475.408,1643706160,5310751
6156442.88,1644156605,5501938
6329169.131,1643098820,5013349
6150401.998,1644234242,5565667
6165891.189,1644128739,5480695
6178779.258,1644288206,5608153
6202361.115,1644259842,5586910
6173109.267,1644204799,5544424
6146701.082,1644507364,5799340
6172415.222,1644359682,5671882
6248878.441,1644028208,5438209
6215508.934,1643759172,5331994
6149459.074,1644619886,5884312
6175604.249,1644381330,5693125
6177243.657,1644336239,5650639
6181003.882,1644310884,5629396
6112199.11,1644770979,5990527
6171462.374,1644402328,5714368
6108936.285,1644740324,5969284
6154421.352,1644178500,5523181
6150084.487,1644679044,5926798
6107599.02,1644916841,6096742
6165536.941,1644649747,5905555
6178258.516,1644426130,5735611
6148355.72,1644480007,5778097
6158164.604,1644533332,5820583
6191511.058,1644562057,5841826
6144372.451,1644451562,5756854
6108935.13,1644994296,6160471
6197953.741,1644594046,5863069
6105307.041,1644968134,6139228
6102025.528,1644890592,6075499
6110344.301,1645262712,6372901
