Date,Swap,Margin trading,Mint GLP,Burn GLP,Liquidation,Cumulative
2022-01-06,243.73149763756132,1841.6198510283866,46512.03441246319,61.25690851091747,0.11177411299377127,48658.75444375305
2022-01-07,8361.350660804823,8681.586267608734,5877.24751478946,1085.8670395197234,1456.0469117979064,74120.8528382737
2022-01-08,12425.608911319023,12073.865950959558,3506.106375934952,957.7284509219533,422.36468155657894,103506.52720896577
2022-01-09,13572.463906836903,79978.14300852716,4695.073079379478,181.7615326120241,0.6245912437443621,201934.59332756506
2022-01-10,23276.360026010967,128402.3028955737,4230.02469179321,242.77907650021552,425.56602887310146,358511.62604631623
2022-01-11,12251.65831821202,111592.41275801857,13408.393214720187,318.01258487214665,0.9353854050277732,496083.0383075442
2022-01-12,19305.234813635925,70381.15265401825,12366.724901085709,931.1884601284647,51.849542579453555,599119.188678992
2022-01-13,7271.729452968931,96028.26031088772,5354.80068866634,97.96129233884818,74.51581920524768,707946.456243059
2022-01-14,9431.870379409856,110704.52816266102,6340.066569184017,1043.5301960793042,169.4301717709459,835635.8817221641
2022-01-15,6913.134357708339,65091.97944037223,4240.165951893574,1427.1281370504566,9.583819142892025,913317.8734283316
2022-01-16,8119.114208699352,73940.59936964697,2474.7440241810586,3122.4135332813516,446.0897884201986,1001420.8343525605
2022-01-17,17256.85498536655,220822.53678230912,1324.1627721704108,7443.874873811576,63.57656002530712,1248331.8403262435
2022-01-18,3988.733987004621,112359.84519903075,3829.567461867492,434.9113471792216,222.02468030653836,1369166.923001632
2022-01-19,12597.126223967973,91536.0665685074,3499.3047729713317,140.8635154692129,134.90434857466607,1477075.1884311228
2022-01-20,20450.48896404292,139174.9231438267,10022.872053153576,8380.743223314805,251.38219788417337,1655355.598013345
2022-01-21,82762.9964975547,167931.03286228608,11055.920513118668,6172.380174548984,9358.48907289168,1932636.417133745
2022-01-22,56559.9564738112,212205.49786472748,7969.665885824084,6599.407581763894,1673.262595742417,2217644.2075356143
2022-01-23,21316.121491905946,119582.01286939,1015.5556508334348,4430.402569587681,193.3470739145705,2364181.647191246
2022-01-24,25613.731127102594,223053.15255241236,3018.2512327006625,2737.331862050573,411.2175047642959,2619015.3314702767
2022-01-25,15614.877700049135,163987.565321065,10026.82194601735,2797.178459858201,548.9058198692219,2811990.680717136
2022-01-26,28534.848333794267,149210.0924005906,6218.678347997462,1739.1203430134985,332.2137799153861,2998025.633922447
2022-01-27,14259.028610430289,39938.3444941413,11210.06019465103,6539.48328332699,126.44619285075169,3070098.9966978473
2022-01-28,10342.964349839202,93984.37598271697,10447.534770536804,3262.815785854019,148.67151637811912,3188285.3591031726
2022-01-29,7641.563093565425,78957.72341608076,4661.521536853969,2507.8090742948366,302.3080517687049,3282356.284275736
2022-01-30,12661.894220793178,30820.405686999606,5113.479529457038,2800.3735893247667,187.6400446099251,3333940.0773469205
2022-01-31,21351.851527481656,93923.61308425381,6803.31083769641,2603.2648527238052,1473.601611241902,3460095.719260318
2022-02-01,31141.504557342138,207542.61575022578,8771.15516756257,1119.6808238175029,344.71950041883974,3709015.395059685
2022-02-02,35820.925803485436,191090.78318171285,1622.9076478218515,22486.85291840384,68.29971276249853,3960105.1643238715
2022-02-03,19978.930164595622,30874.26838035494,10043.279984253677,15237.019275936133,194.24415336211314,4036432.906282374
2022-02-04,56127.54452895361,93011.00099588772,11176.24903258445,2596.5362227318374,787.7490560790029,4200131.986118611
2022-02-05,25840.518378593955,79488.90825552496,9675.120530152337,4715.021206952052,419.87460484138865,4320271.429094676
2022-02-06,23357.510309858804,7500.5664837207,1276.4028401031642,362.7698889779766,9.627253101207316,4352778.305870438
2022-02-07,25554.37165106241,65626.6120870325,6128.767220192825,4794.248726582765,509.26380117332155,4455391.569356482
2022-02-08,47453.22077502675,100249.0221180239,5597.691070940125,4629.056944393492,903.1631183794525,4614223.723383245
2022-02-09,16028.293322135933,53494.204621359546,11504.118405982264,4976.80342798341,162.76885515674803,4700389.912015863
2022-02-10,33381.37286861637,106475.6202894924,12152.099661280881,7061.084786712614,1077.8206753130798,4860537.910297278
2022-02-11,20561.980459373997,89167.77574720002,1205.1252583514936,10834.816870047389,3373.21667937428,4985680.825311625
2022-02-12,10852.034961916213,32217.34831172374,3066.9082010135835,10183.016883803091,1806.544149783018,5043806.677819865
2022-02-13,5778.410173315536,37103.81837786879,3414.881473304519,3964.5996135575188,400.14651530226547,5094468.533973213
2022-02-14,13784.907991148035,50334.18542896522,8390.173174484231,1331.9774232838142,750.1246970602151,5169059.902688155
2022-02-15,18778.427253318587,27748.40369479513,10492.615469610942,1730.4028152073804,459.73370093638005,5228269.485622023
2022-02-16,21574.86325718368,36327.47833201023,4805.312359225807,1868.161507048827,296.0010217080926,5293141.3020992
2022-02-17,21537.5782161428,13417.261955199161,9721.574636476897,16453.814641854697,288.59854262094086,5354560.130091495
2022-02-18,10878.853717372214,13714.228521212335,4470.074687884743,9177.296289658552,270.59138473530584,5393071.174692358
2022-02-19,7777.378534818491,25414.512045894735,1685.3546757648953,2065.9361199566583,81.10149910795008,5430095.4575679
2022-02-20,21962.76727156241,37500.32768024318,2557.500550894544,5318.285413324679,101.66111250103859,5497535.999596426
2022-02-21,40398.59843597651,94846.71131003724,2799.244513933242,6768.460285001704,6941.503116498381,5649290.517257873
2022-02-22,34852.99396123282,101114.71849183222,4793.669919363215,3339.8551385950586,3591.351563879405,5796983.106332776
2022-02-23,21673.7787902492,63253.655493390135,4351.173765955409,11386.648331922253,246.47932608753035,5897894.84204038
